CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1683232618965,1683232620487,1683232621290,-30,Face3,Face1,False
1683232621791,1683232623279,1683232625088,-30,Face1,Face1,True
1683232625599,1683232627162,1683232628826,0,Face1,Face1,True
1683232629329,1683232630388,1683232631514,+30,Face2,Face1,False
1683232632035,1683232632851,1683232633937,-30,Face2,Face1,False
1683232634445,1683232635239,1683232636313,-30,Face2,Face1,False
1683232636815,1683232638179,1683232639211,0,Face3,Face3,True
1683232639718,1683232640978,1683232641735,0,Face2,Face2,True
1683232642254,1683232643941,1683232646764,+30,Face1,Face1,True
1683232647275,1683232648226,1683232649404,0,Face3,Face3,True
1683232649913,1683232650972,1683232651698,-30,Face2,Face2,True
1683232652206,1683232653550,1683232654368,0,Face2,Face2,True
1683232654881,1683232656047,1683232657189,0,Face1,Face1,True
1683232657724,1683232659230,1683232660319,-30,Face2,Face2,True
1683232660824,1683232662539,1683232663603,-30,Face2,Face2,True
1683232664117,1683232665307,1683232666415,-30,Face3,Face3,True
1683232666930,1683232668242,1683232669690,+30,Face3,Face1,False
1683232670206,1683232671495,1683232672716,-30,Face1,Face1,True
1683232673239,1683232674257,1683232675432,+30,Face2,Face1,False
1683232675944,1683232677508,1683232679276,0,Face2,Face2,True
1683232679779,1683232680768,1683232682095,-30,Face1,Face1,True
1683232682598,1683232684301,1683232686230,+30,Face3,Face3,True
1683232686732,1683232687676,1683232688534,0,Face3,Face3,True
1683232689044,1683232690025,1683232690839,+30,Face3,Face3,True
1683232691349,1683232692609,1683232693526,+30,Face1,Face1,True
1683232694032,1683232694901,1683232695929,-30,Face1,Face1,True
1683232696430,1683232697636,1683232698995,+30,Face2,Face1,False
1683232699497,1683232701151,1683232701950,+30,Face3,Face1,False
1683232702454,1683232703698,1683232705064,+30,Face3,Face3,True
1683232705566,1683232707148,1683232708545,-30,Face3,Face3,True
1683232709055,1683232710394,1683232711099,0,Face3,Face3,True
1683232711611,1683232712672,1683232714296,+30,Face1,Face1,True
1683232714805,1683232716183,1683232717279,+30,Face1,Face1,True
1683232717789,1683232719415,1683232720379,0,Face3,Face3,True
1683232720885,1683232722550,1683232723665,0,Face1,Face1,True
1683232724170,1683232725682,1683232726379,0,Face1,Face1,True
1683232726912,1683232727868,1683232728536,0,Face2,Face2,True
1683232729045,1683232729784,1683232730512,0,Face3,Face3,True
1683232731050,1683232732178,1683232733113,+30,Face1,Face1,True
1683232733618,1683232734390,1683232735652,0,Face3,Face3,True
1683232736174,1683232736971,1683232737967,+30,Face1,Face1,True
1683232738478,1683232739267,1683232740135,0,Face1,Face1,True
1683232740648,1683232741474,1683232742331,+30,Face1,Face1,True
1683232742835,1683232743609,1683232744277,0,Face2,Face2,True
1683232744779,1683232746122,1683232747006,+30,Face2,Face2,True
1683232747537,1683232748872,1683232750557,+30,Face1,Face1,True
1683232751060,1683232752260,1683232753585,0,Face1,Face1,True
