CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1683232291139,1683232292650,1683232295037,0,Face2,Face3,False
1683232295541,1683232297052,1683232298224,-30,Face3,Face2,False
1683232298728,1683232300243,1683232301194,0,Face2,Face3,False
1683232301698,1683232303212,1683232303592,0,Face3,Face1,False
1683232304094,1683232305613,1683232305887,0,Face1,Face1,True
1683232306391,1683232307895,1683232308104,-30,Face2,Face1,False
1683232308612,1683232310125,1683232310490,-30,Face2,Face1,False
1683232311002,1683232312521,1683232312893,0,Face3,Face1,False
1683232313409,1683232314913,1683232315323,0,Face2,Face1,False
1683232315824,1683232317334,1683232317829,+30,Face1,Face1,True
1683232318335,1683232319850,1683232320261,-30,Face1,Face1,True
